"CÓDIGO TIENDA","NOMBRE TIENDA",ICCID,TELÉFONO,"% COMISIÓN","RECARGA MOVILCO","BASE LIQUIDACIÓN","TOTAL A PAGAR"
14413,CELUNET,57101702501037913,3217221676,7.00%,0.00,44000.00,3080.00
14429,"VILLANET CEL",57101702412847157,3128242739,7.00%,0.00,24000.00,1680.00
14447,"FREE LANCE ATHENA",57101602802627239,3172585417,7.00%,0.00,22000.00,1540.00
14499,"RELOJERIA GOMEZ",57101702410468072,3163290332,7.00%,0.00,36000.00,2520.00
14628,"TECNIMAX TECNOLOGY",57101702605492241,3046710604,7.00%,0.00,41000.00,2870.00
14731,"AQUI ES ELIZA IRLEYM",57101702507572321,3116279234,7.00%,0.00,44000.00,3080.00
14771,"PILLIMOVIL TECNOLOGIA Y ACCESORIOS",57101702606877347,3169502256,7.00%,0.00,25500.00,1785.00
15106,"COPISERVICIOS LIPIBE",57101702406172096,3136119920,7.00%,0.00,25500.00,1785.00
19520,"DADI TECNOLOGÍA ",57101702508688805,3222666309,7.00%,0.00,34000.00,2380.00
20840,"VARIEDADES CELENE",57101702410448932,3027678717,7.00%,0.00,33500.00,2345.00
103405,"COMUNICACIONES LITOR",57101702404158474,3137560031,7.00%,0.00,27000.00,1890.00
122968,"COPY CENTRO LA 29",57101702406685562,3146061702,7.00%,0.00,44000.00,3080.00
122968,"COPY CENTRO LA 29",57101702507573483,3156987218,7.00%,0.00,12000.00,840.00
124510,"SERVICELL COMUNICACIONES",57101702412486857,3207956110,7.00%,0.00,37500.00,2625.00
128805,"DR SMARTPHONE",57101702312679217,3163031919,3.00%,0.00,32000.00,960.00
129800,ADELYNNSTORE,57101702406746691,3164619181,7.00%,0.00,22000.00,1540.00
187790,COPYSERVICIOS,57101702605472000,3005012029,7.00%,0.00,22000.00,1540.00
198858,"PUNTO FIJO",57101702406777923,3183720625,7.00%,0.00,32000.00,2240.00
213433,"TELLEZ COMUNICACIONES",57101702501036983,3157190018,7.00%,0.00,15000.00,1050.00
218521,"MOVIL STORE",57101702501013933,3105938609,7.00%,0.00,48000.00,3360.00
234745,"TIENDA TECNOLOGICA 99",57101602510151052,3181206208,7.00%,0.00,2500.00,175.00
304183,"CHAZA HOSPITAL ",57101702412506088,3107305604,7.00%,0.00,22000.00,1540.00
316979,"CHAZA PILAR",57101702406687456,3158198289,7.00%,0.00,16000.00,1120.00
316979,"CHAZA PILAR",57101702412258018,3014079374,7.00%,0.00,29000.00,2030.00
328842,"FREELANCE GESAMA",57101702312057325,3188409890,7.00%,0.00,29500.00,2065.00
330310,"DADI TECNOLOGÍA ",57101702605493243,3168034220,7.00%,0.00,34500.00,2415.00
330331,MARTINSTOR,57101602611788030,3233176198,7.00%,0.00,34000.00,2380.00
337414,"JUANCELL 2",57101702406173573,3163566906,7.00%,0.00,10500.00,735.00
337592,"H Y D TECHNOLOGY TAPIA",57101702606879913,3244889942,7.00%,0.00,38500.00,2695.00
341228,"DROGAS LLANOS DE LA RIVERA ",57101702501036288,3169466919,7.00%,0.00,22000.00,1540.00
343331,"DUSSANTECH ",57101702412257818,3161465269,7.00%,0.00,19500.00,1365.00
